"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"SERVIÇOS";"SEGMENTOS TURISTICOS";"LINGUAS"
CONFIANÇA ENTRETENIMENTOS E SERVIÇOS EIRELI - ME;CONFIANÇA ENTRETENIMENTOS E SERVIÇOS;"11.184.542/0001-88";Empresa Individual (EIRELI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;60.130.271;CE;Fortaleza;São João do Tauape;RUA EDUARDO BEZERRA, 1352;(85) 3036-3006;;wpprojetos@outlook.com;;;"06.077860.75.0001-0";"9001-9/02-EVENTOS MUSICAIS; ORGANIZAÇÃO DE, PROMOÇÃO DE (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 7990-2/00-TURISMO; SERVIÇOS DE INFORMAÇÃO E ASSISTÊNCIA AO (Secundário), 4330-4/02-FORROS OU DIVISÓRIAS DE QUALQUER MATERIAL, COLOCAÇÃO OU INSTALAÇÃO DE (Secundário), 9001-9/99-CENOGRAFIA LIGADA ÀS ATIVIDADES ARTÍSTICAS; SERVIÇOS DE (Secundário)";Venda de Artigos de Artesanato;;Nenhuma das Opções
EDMAR ANTONIO PINTO DE OLVEIRA02021602702;COLIBRI AVENTURA;"23.845.848/0001-17";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;29.680.000;ES;João Neiva;João Neiva;R NEGRI ORESTES 358 - CENTRO;(27) 99857-5268;(27) 99857-5268;edmarsapo@gmail.com;;colibriaventura.com.br;"08.082009.75.0001-9";"7990-2/00-TURISMO; SERVIÇOS DE INFORMAÇÃO E ASSISTÊNCIA AO (Primário)";Arvorismo ,Caminhadas;Ecoturismo,Turismo de Aventura;Nenhuma das Opções
GRAXAIM ECOTURISMO, AVENTURAS E COMERCIO LTDA - ME;GRAXAIM ECOTURISMO, AVENTURAS E COMERCIO LTDA - ME;"06.178.327/0001-34";Sociedade Empresária;"01/02/2009";Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;88.650.000;SC;Urubici;Urubici;ROD SC - 110, KM 371,8;(49) 3278-5617;;graxaim@graxaim.com;;WWW.GRAXAIM.COM;"24.032410.75.0001-8";"5590-6/99-ESTALAGEM; SERVIÇO DE ALOJAMENTO  (Secundário), 9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário)";Caminhadas ,Observação da fauna ,Observação da flora ,Observação de formações geológicas;Ecoturismo,Turismo de Aventura,Turismo de Esporte;Inglês
RICARDO NUNO CARVALHO BABO DA FONSECA 23794078861;MYPOUSADA;"28.242.696/0001-81";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;7.130.000;SP;Guarulhos;Cocaia;AVENIDA BRIGADEIRO FARIA LIMA 2759;(11) 94317-7447;;info@trip.tur.br;;;"26.089164.75.0001-6";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7990-2/00-TURISMO LOCAL; PROMOÇÃO DE (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE EVENTOS, EXCETO CULTURAIS E ESPORTIVOS, SERVIÇOS DE (Secundário), 7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Secundário), 7912-1/00-OPERADORES TURÍSTICOS (Secundário)";Consultoria em Marketing;Turismo de Negócios e Eventos,Turismo de Sol e Praia,Estudos e Intercâmbio;Espanhol ,Francês ,Inglês
CLARK EMPREENDIMENTOS LTDA - ME;CLARK EMPREENDIMENTOS LTDA - ME;"03.651.532/0001-87";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;51.011.010;PE;Recife;Pina;RUA CAPITÃO REBELINHO N ° 300  APTO 1304;(81) 98181-1112;;mauriciolunajr@hotmail.com;;;"16.088740.75.0001-1";"7490-1/02-ESCAFANDRIA E MERGULHO; SERVIÇOS DE (Secundário)";Serviços de Escafandria e Mergulho ,Turismo Cinematográfico;Turismo de Esporte,Turismo Náutico;Espanhol ,Inglês
F DE LIMA VIANNA EVENTOS E TURISMO;INTRIP;"19.544.925/0001-21";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;20.550.200;RJ;Rio de Janeiro;Maracanã;RUA OITO DE DEZEMBRO, 306, APTO 204, BLOCO 1;(21) 99809-1240;;fabio@intrip.com.br;;;"19.065433.75.0001-5";"7990-2/00-TURISMO; SERVIÇOS DE INFORMAÇÃO E ASSISTÊNCIA AO (Primário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Secundário), 7912-1/00-OPERADORES TURÍSTICOS (Secundário)";Tirolesa ,Turismo fora de estrada em veículos 4 X 4 ou bugue ,Montanhismo ,Passeios em barcos e lanchas ,Turismo Cívico (ou visitas a monumentos e celebrações cívicas) ,Turismo Religioso (ou visitas a espaços e eventos religiosos) ,Turismo Gastronômico (ou visitas gastronômicas) ,Turismo Místico/Esotérico (ou visita a lugares místicos ou esotéricos);Turismo de Aventura,Turismo Cultural,Turismo de Negócios e Eventos;Espanhol ,Francês ,Inglês
ISABELLA MELENDRES 97496570982;SOUIM;"20.963.573/0001-28";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;88.780.000;SC;Imbituba;Imbituba;RUA NEREU RAMOS, 253;(48) 99977-9313;;souimbituba@gmail.com;;;"24.088299.75.0001-9";"8592-9/99-ARTESANATO; CURSO, ENSINO DE (Primário), 4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário)";Venda de Artigos de Artesanato;Ecoturismo,Turismo Cultural,Turismo de Negócios e Eventos;Nenhuma das Opções
EAB INCORPORAÇÕES S.A.;EAB;"04.151.732/0001-33";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;59.120.000;RN;Natal;Potengi;AV. DR JOÃO MEDEIROS FILHO, Nº 2395;(84) 3674-8200;;mkt@pnsn.com.br;;www.partagenatal.com.br;"20.089945.75.0001-3";"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário)";Turismo Gastronômico (ou visitas gastronômicas);;Nenhuma das Opções
OBJETIVA ASSESSORIA E COMUNICAÇÃO LTDA - EPP;OBJETIVA ASSESSORIA;"23.612.200/0001-09";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;71.615.540;DF;Lago Sul;Setor de Habitações Individuais Sul;SHIS QI 05, BLOCO D, SALA 1, PARTE C - GILBERTO SALOMÃO;(61) 3365-1261;;diretoria@grupobjetiva.com;;;"07.086032.75.0001-3";"8550-3/02-GESTÃO, ASSESSORIA, CONSULTORIA, ORIENTAÇÃO E ASSISTÊNCIA PRESTADOS AO SISTEMA E AO PROCESSO EDUCACIONAL; SERVIÇOS DE (Primário), 5911-1/02-PRODUTORA DE FILMES DE PUBLICIDADE (Secundário)";Consultoria em Marketing;;Nenhuma das Opções
ARTE DOLAR COMERCIO DE PRESENTES LTDA - EPP;ARTE DOLAR COMERCIO DE PRESENTES LTDA - EPP;"00.186.079/0001-97";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;89.107.000;SC;Pomerode;Pomerode;RUA XV DE NOVEMBRO, 4420;(47) 3387-2528;;andreas@serviconcontabilidade.com.br;;;"24.089132.75.0001-9";"4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Primário)";Venda de Artigos de Artesanato;Turismo Cultural;Alemão
LUCIANE DENISE RAMOS DUARTE 00114497052;TCHÊ AVENTURA;"28.138.166/0001-98";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;95.030.855;RS;Caxias do Sul;Santa Catarina;R DEONILO ZANELLA 305;(54) 99928-7623;;rduartecx@gmail.com;;;"23.088002.75.0001-8";"7990-2/00-TURISMO LOCAL; PROMOÇÃO DE (Primário)";Turismo fora de estrada em veículos 4 X 4 ou bugue;Ecoturismo,Turismo de Aventura,Turismo Cultural;Inglês
MONTE BARAO ECOTURISMO E AVENTURA LTDA - ME;MONTE BARAO;"07.934.306/0001-64";Sociedade Simples;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Treinamento, Instrução ou Qualificação;5.734.150;SP;São Paulo;Vila Andrade;RUA NELSON GAMA DE OLIVEIRA 1113 / 154 BLOCO A;(11) 3205-4848;;atendimento@travelstore.tur.br;;www.travelstoreboutique.com.br;"26.067367.75.0001-2";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Secundário)";Cursos, Treinamentos ou Qualificações para Prestadores de Serviços Turísticos;Ecoturismo,Turismo de Aventura;Inglês
BOSSA BRAZIL PROMOÇÕES, EVENTOS E TURISMO LTDA;BOSSA BRAZIL PROMOÇÕES, EVENTOS E TURISMO LTDA;"14.314.129/0001-89";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;5.424.090;SP;São Paulo;Pinheiros;R CAMPO ALEGRE, 60 - 2°ANDAR - CJ 22;(11) 3816-7153;;fabio@bossa-brazil.com;;;"26.064116.75.0001-9";"8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Primário), 7990-2/00-TURISMO LOCAL; PROMOÇÃO DE (Secundário), 7912-1/00-OPERAÇÃO DE TURISMO; SERVIÇOS DE (Secundário), 8550-3/02-ATIVIDADES DE APOIO À EDUCAÇÃO; GESTÃO, ASSESSORIA, CONSULTORIA, ORIENTAÇÃO E ASSISTÊNCIA (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE FEIRAS E EXPOSIÇÕES; SERVIÇOS DE (Secundário), 7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Secundário), 7319-0/04-CONSULTORIA EM PUBLICIDADE E PROPAGANDA (Secundário)";Consultoria em Marketing ,Serviços de Gestão, Assessoria, Consultoria, Orientação e Assistência Prestados em Projetos Turísticos;Ecoturismo,Turismo de Aventura,Turismo Cultural;Alemão ,Espanhol ,Italiano ,Inglês
FANTINI RECEPTIVO & COORDENACAO DE EVENTOS LTDA - ME;FANTINI RECEPTIVO & COORDENACAO DE EVENTOS LTDA - ME;"21.832.321/0001-22";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;13.334.360;SP;Indaiatuba;Cidade Nova II;RUA SERGIPE, N° 43 - APT 42 - 4° ANDAR - EDIF MARBELLA COND PATIO ANDALUZ;(19) 3875-6578;;contabil@delphoscontabilidade.com.br;;;"26.071040.75.0001-9";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Primário)";Serviços de Gestão, Assessoria, Consultoria, Orientação e Assistência Prestados em Projetos Turísticos;Turismo de Negócios e Eventos;Espanhol ,Italiano ,Francês ,Inglês
FABIO HENRIQUE OLIVEIRA 06725455867;SIL PRESENTES & FLORES;"19.591.994/0001-96";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;12.830.000;SP;São José do Barreiro;São José do Barreiro;"PRAÇA CORONEL CUNHA LARA; N° 04";(12) 3117-2256;;silpresentes@hotmail.com;;;"26.085917.75.0001-1";"4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário)";Venda de Artigos de Artesanato;Turismo Cultural,Turismo Rural;Nenhuma das Opções
OCEAN MERGULHO E COMERCIO DE ARTIGOS ESPORTIVOS LTDA ME;OCEAN CENTRO DE MERGULHO;"12.996.515/0001-72";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;23.916.790;RJ;Angra dos Reis;Ponta Leste;AV. ANTONIO BERTHOLDO DA SILVA JORDÃO 7346 - PARTE;(21) 2524-4000;(21) 99529-8776;flavia@ocean.com.br;paulo@ocean.com.br;www.ocean.com.br;"19.083296.75.0001-2";"8591-1/00-MERGULHO; ENSINO, CURSO, ESCOLA DE (Secundário), 7490-1/02-ESCAFANDRIA E MERGULHO; SERVIÇOS DE (Secundário)";Locação de equipamentos náuticos (jet ski, banana boat, caiaque, esqui-aquático etc);;
TURISPLAN - PLANEJAMENTO ESTRATÉGICO EM TURISMO SUSTENTÁVEL LTDA ME;TURISPLAN;"07.793.547/0001-30";Sociedade Empresária;"30/12/2005";Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;26.910.000;RJ;Governador Portela;Governador Portela;EST DOS BAMBUS Nº 2295;(21) 99853-2272;;tirisplan2016@gmail.com;cafenovale@gmail.com;WWW.TURISPLANBRASIL.COM.BR;"19.037845.75.0001-6";"7911-2/00-PLANEJAMENTO, ASSESSORAMENTO E ORGANIZAÇÃO DE VIAGENS (Primário)";Gestão de Campos de Golfe ,Caminhadas ,Observação da fauna ,Observação da flora ,Observação de formações geológicas ,Turismo fora de estrada em veículos 4 X 4 ou bugue ,Visitas as atividades agropecuárias/de transformação das propriedades rurais ,Balonismo ,Turismo Cívico (ou visitas a monumentos e celebrações cívicas) ,Turismo Religioso (ou visitas a espaços e eventos religiosos) ,Turismo Gastronômico (ou visitas gastronômicas) ,Turismo Místico/Esotérico (ou visita a lugares místicos ou esotéricos);Ecoturismo,Turismo Cultural,Estudos e Intercâmbio;Espanhol ,Inglês
TALES SOUZA SANTOS 01995735574;RIBEIRA;"25.453.311/0001-37";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;47.650.000;BA;Correntina;Correntina;RUA MÁRIO BARBOSA DOS SANTOS, Nº 61. CENTRO;(77) 98813-6855;;contato@ribeira.tur.br;;;"05.082100.75.0001-3";"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário)";Serviços de Escafandria e Mergulho ,Caminhadas ,Escalada ,Rafting ,Rapel ,Tirolesa ,Observação da fauna ,Observação da flora ,Espeleoturismo ,Turismo fora de estrada em veículos 4 X 4 ou bugue ,Visitas as atividades agropecuárias/de transformação das propriedades rurais ,Canoagem ,Montanhismo ,Cavalgadas ,Turismo Cívico (ou visitas a monumentos e celebrações cívicas) ,Turismo Religioso (ou visitas a espaços e eventos religiosos) ,Turismo Gastronômico (ou visitas gastronômicas) ,Turismo Místico/Esotérico (ou visita a lugares místicos ou esotéricos);Ecoturismo,Turismo de Aventura,Turismo Cultural;
FRAGA TURISMO E VIAGENS LTDA-ME;FRAGA TURISMO E VIAGENS LTDA-ME;"24.013.753/0001-08";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;27.542.090;RJ;Resende;Campos Elíseos;RUA LUIZ PISTARINI 30 L-16 ED. CAMPOS ELISEOS;(24) 3355-3461;(21) 3105-8529;pe.fraga@hotmail.com;jose@vaiviajando.com;jurturismo.com.br;"19.076354.75.0001-8";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Secundário)";Venda de Artigos de Artesanato;Turismo Cultural,Turismo de Sol e Praia,Estudos e Intercâmbio;Inglês
"2C4M ADMINISTRAÇÃO, CONSULTORIA, SERVICOS E EMPREENDIMENTOS LTDA-ME";"2C4M";"02.463.811/0001-54";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Treinamento, Instrução ou Qualificação;66.050.200;PA;Belém;Umarizal;TV DOM ROMUALDO DE SEIXAS, 1642;(91) 3225-2004;;"2c4m-adm@bol.com.br";adm.ritagoncalves@gmail.com;;"14.087294.75.0001-7";"8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Primário), 9001-9/03-EVENTOS DE DANÇA; ORGANIZAÇÃO DE, PROMOÇÃO DE (Secundário), 9319-1/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE EVENTOS ESPORTIVOS; SERVIÇOS DE (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE EVENTOS, EXCETO CULTURAIS E ESPORTIVOS, SERVIÇOS DE (Secundário), 7490-1/99-ASSESSORIA E CONSULTORIA EM PROJETOS CULTURAIS (Secundário), 8230-0/01-EXPOSIÇÃO DE ANIMAIS EM FEIRAS (Secundário), 9001-9/02-EVENTOS MUSICAIS; ORGANIZAÇÃO DE, PROMOÇÃO DE (Secundário), 9001-9/01-ORGANIZAÇÃO, PROMOÇÃO DE EVENTOS DE TEATRO; ATIVIDADE DE  (Secundário)";Cursos, Treinamentos ou Qualificações para Prestadores de Serviços Turísticos;Turismo Cultural,Turismo de Negócios e Eventos,Turismo Rural;Inglês
ESTÂNCIA MIMOSA ECOTURISMO LTDA;ESTÂNCIA MIMOSA ECOTURISMO;"07.947.387/0001-37";Sociedade Empresária;"18/04/2006";Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;79.290.000;MS;Bonito;Bonito;RODOVIA MS 178, KM 18, S/Nº;(67) 3255-2109;(67) 3255-2109;luiza@gruporiodaprata.com.br;carina@gruporiodaprata.com.br;www.estanciamimosa.com.br;"12.002129.75.0001-8";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário)";Caminhadas ,Observação da fauna ,Observação da flora ,Cavalgadas ,Passeios em barcos e lanchas;Ecoturismo,Turismo de Aventura;Inglês
J G M DE SOUSA - ME;SUNSETKITEBOARDING;"26.618.321/0001-48";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;62.598.000;CE;Jijoca de Jericoacoara;Jijoca de Jericoacoara;"RUA DO FORRÓ, 11 - ANEXO ""A"" - JERICOACOARA";(88) 99958-2936;;gleisonmonteiro88@gmail.com;;;"06.088780.75.0001-6";"8591-1/00-MERGULHO; ENSINO, CURSO, ESCOLA DE (Primário)";Kitesurf;Turismo de Aventura,Turismo de Esporte,Turismo Náutico;Espanhol ,Inglês
A. SOUSA TECNOLOGIA E SOLUÇÕES - ME;OITAVA BRASIL;"26.751.683/0001-02";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;2.465.030;SP;São Paulo;Imirim;RUA JOSÉ DE FIGUEIREDO SEIXAS, 67 APTO. 153 BL. 5;(11) 3473-2225;;comercial@oitavabr.com.br;contato@portalbarato.com.br;www.portalbarato.com.br;"26.085004.75.0001-4";"7319-0/04-CONSULTORIA EM MARKETING (Secundário), 7319-0/04-CONSULTORIA EM PUBLICIDADE E PROPAGANDA (Secundário), 7490-1/99-CONSULTORIA, ASSESSORIA EM PROJETOS DE MEIO AMBIENTE; SERVIÇOS DE (Secundário)";Consultoria em Marketing;Turismo Cultural,Turismo de Negócios e Eventos,Turismo de Sol e Praia;Nenhuma das Opções
SABRINA TOLOTTI 92855687004;TRAMA EM FIOS;"18.399.036/0001-55";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;88.790.000;SC;Laguna;Laguna;RUA VOLUNTÁRIO FERMIANO, 41;(48) 99107-5421;;tramaemfiosartesanto@gmail.com;;www.tramaemfios.com.br;"24.086422.75.0001-5";"4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Primário)";Venda de Artigos de Artesanato;Turismo Cultural,Turismo de Negócios e Eventos,Turismo de Sol e Praia;Espanhol ,Inglês
INSTITUTO BRASILEIRO DE POLITICAS PUBLICAS;IBRAPP;"09.611.589/0001-39";Sociedade Empresária;"25/08/2009";Empresa de Médio ou Grande Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;65.070.070;MA;São Luís;Recanto Vinhais;AV. ANTARES, Nº 157, QUADRA 19;(98) 4141-2180;(98) 3227-7384;contato@ibrapp.com;espedito@ibrapp.com;WWW.IBRAPP.COM;"10.030705.75.0001-7";"4330-4/02-ESTANDES (STANDS) PARA FEIRAS E EVENTOS; INSTALAÇÃO DE
 (Secundário), 7020-4/00-CONSULTORIA NA ADMINISTRAÇÃO DE EMPRESAS (Secundário)";Observação da fauna ,Observação da flora ,Observação de formações geológicas ,Cavalgadas;Turismo Cultural,Turismo de Esporte,Turismo de Negócios e Eventos;Inglês
TTL - TRANSPORTE E TURISMO EIRELI - ME;TTL - TRANSPORTE E TURISMO;"24.484.908/0001-86";Empresa Individual (EIRELI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;74.683.500;GO;Goiânia;Jardim Guanabara III;RUA GB 13 Nº 77 QD. 07 LT. 10 RESIDENCIAL BELA GOIÂNIA;(62) 3248-3199;(62) 3040-7500;thiagoch@hotmail.com;;;"09.080065.75.0001-0";"4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Primário), 7990-2/00-TURISMO LOCAL; PROMOÇÃO DE (Secundário)";Turismo Religioso (ou visitas a espaços e eventos religiosos) ,Passeios para estâncias hidrominerais, spas, balneários, resort, clínicas naturalistas;Turismo de Negócios e Eventos;Nenhuma das Opções
EZEQUIEL FERREIRA MANSO 02303920833;EFM MARKETING;"16.759.589/0001-46";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;3.756.030;SP;São Paulo;Jardim Gonzaga;RUA NOVA CRUZ, 161;(11) 9950-2600;;ezequiel.f.m@hotmail.com;;;"26.050307.75.0001-9";"8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE EVENTOS, EXCETO CULTURAIS E ESPORTIVOS, SERVIÇOS DE (Secundário), 7990-2/00-TURISMO LOCAL; PROMOÇÃO DE (Secundário)";Consultoria em Marketing ,Serviços de Gestão, Assessoria, Consultoria, Orientação e Assistência Prestados em Projetos Turísticos;Turismo de Negócios e Eventos;
EDUARDO LOURO DE ALMEIDA - TURISMO, COMERCIO E SERVIÇOS NÁUTICOS - ME;NAUTISPORT;"11.360.647/0001-40";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;23.904.610;RJ;Angra dos Reis;Morro da Glória;RUA JOSE CANDIDO DE OLIVEIRA, 865;(24) 3365-0649;(24) 3365-0649;claudia@nautisport.com.br;;www.nautisport.com.br;"19.078533.75.0001-8";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 5030-1/01-NAVEGAÇÃO DE APOIO MARÍTIMO; SERVIÇOS DE (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE FEIRAS E EXPOSIÇÕES; SERVIÇOS DE (Secundário), 7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Secundário)";Locação de equipamentos náuticos (jet ski, banana boat, caiaque, esqui-aquático etc);Ecoturismo,Turismo Náutico,Turismo Acessível (pessoas com deficiência ou mobilidade reduzida);Espanhol ,Italiano ,Francês ,Inglês
F4 TURISMO E LOCAÇÃO DE EQUIPAMENTOS LTDA - ME;PROJETO FÉRIAS;"04.278.702/0001-92";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;86.870.000;PR;Ivaiporã;Ivaiporã;RUA MANGUEIRA, 70 JARDIM GUANABARA;(43) 3472-6418;;fjfilmagens@gmail.com;;;"18.079587.75.0001-1";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Primário)";Caminhadas ,Observação da fauna ,Observação da flora ,Passeios em barcos e lanchas ,Turismo Religioso (ou visitas a espaços e eventos religiosos) ,Turismo Gastronômico (ou visitas gastronômicas) ,Passeios para estâncias hidrominerais, spas, balneários, resort, clínicas naturalistas;Ecoturismo,Turismo de Negócios e Eventos,Turismo de Sol e Praia;Nenhuma das Opções
IA MILHOMEM 04721113102;IAN MILHOMEM;"97.534.204/0001-44";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;73.770.000;GO;Alto Paraíso de Goiás;Alto Paraíso de Goiás;RUA SÃO MIGUEL SN QD. 33 LT. 05 LOJA 02 CENTRO;(62) 3446-1565;;naiapr@hotmai.com;;;"09.078293.75.0001-9";"4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário)";Venda de Artigos de Artesanato;Turismo de Negócios e Eventos;Nenhuma das Opções
AVI - VIAGENS E EVENTOS LTDA- ME;AVI - VIAGENS E EVENTOS;"15.770.335/0001-66";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;70.670.512;DF;Cruzeiro;Setor Sudoeste;CLSW 102, BL. B, LOJA: 63 (SUBSOLO) - ED. PHOENIX ;(61) 3046-8287;;diego@avi.tur.br;;www.avi.tur.br;"07.073689.75.0001-1";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7912-1/00-OPERAÇÃO DE TURISMO; SERVIÇOS DE (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Secundário), 7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Secundário)";Arvorismo ,Caminhadas ,Observação da fauna ,Observação da flora ,Observação de formações geológicas ,Visitas as atividades agropecuárias/de transformação das propriedades rurais ,Enoturismo ,Turismo Religioso (ou visitas a espaços e eventos religiosos) ,Turismo Gastronômico (ou visitas gastronômicas);Ecoturismo,Turismo de Esporte,Turismo de Saúde;Espanhol ,Inglês
